A,B,C
1.0327921705348477,18.774446277598457,8.847036604839413
1.053382669386195,18.02411864371718,5.238649867819148
1.0655089036162848,12.069821141972712,9.34796421515857
1.113172501716281,14.421872190974323,11.8974867289017
1.1228096525030264,20.00703178740538,9.553673355671433
1.1839464119217737,18.914594343754626,2.663662987748583
1.1983558778391648,16.926235245821776,18.812949723609307
1.208265435184667,20.631504672116364,20.090549548379887
1.2238020024495668,24.36021237074212,14.936602460112255
1.2641370367538998,18.26524612858172,15.96500469747606
1.3053217096363725,17.951875463903754,5.57536621863172
1.384453342580291,25.008255923675033,5.661856097198619
1.4342939848492056,30.006354312267316,22.437213854550976
1.4535049262887925,24.96749872564643,18.368691374536585
1.4566998337537576,25.58773771294763,11.950902521724663
1.4738806175308552,31.545909045412962,20.7129684559559
1.4795437051013174,24.649934462309062,11.2162903509898
1.4873981265194116,27.825047801296225,4.731685854266667
1.4998732772934567,27.190522469525412,20.0576495767154
1.504363270868009,23.63297785093479,10.192433906534397
1.505230488604298,23.834102928808637,4.385692577352952
1.516223703067391,26.946820235518913,9.19217646941729
1.5352916611134284,29.977479291483764,9.58895884928897
1.557453654858715,31.32827363726709,22.314095957185074
1.565175634382118,32.14592859677434,15.061441840974659
1.5926316096491258,34.126794827565185,5.53055118511022
1.6011725266655055,32.083945988734605,13.006996378239458
1.616851575186499,29.084779987629908,8.36824352792322
1.6391859685325718,29.32191166037294,23.09886842390791
1.647041662315062,30.454458784875467,10.08569854481445
1.66853396969206,36.067468111010676,18.987258833246415
1.6938750124559778,30.45276540309452,12.746609167002982
1.6997330742111507,38.11286583435045,3.304732634726028
1.7131644705278517,29.93405902560807,17.74529777430057
1.739331357487094,32.665471081866855,7.2025778747103075
1.7698009182135013,41.297759898270925,10.328900640946017
1.7800974375684544,36.97563041682299,9.291967161237089
1.7987854790525617,37.26877769747518,16.03077566679804
1.8076613533433363,35.9948238818079,5.607812792917301
1.8120205560978433,39.57470296104855,10.317121905926795
1.8207860033200198,36.847664443468496,20.452515534398167
1.8363723654626942,42.72568637209736,16.69997380226102
1.8568650284057444,39.2059866544481,19.68729207449629
1.8798409142995256,41.813328983550235,5.499552235634497
1.892171406172515,37.61558212230566,14.707030599650034
1.9190242281932104,44.01557977702613,21.563971909851787
1.920358968057029,40.54121921561994,4.427579523769555
1.9211459055713034,39.69922680096042,5.094718581361479
1.9344162319467664,46.44650453914185,7.704290434203162
1.9482466647940946,43.03518592350278,11.08927560937149
1.971727724172502,48.275503662106225,19.322990925009126
2.0279266426607636,49.02963249703924,23.159314336140504
2.0358719063750566,46.33984540434818,21.26378061511403
2.038398609250837,45.90166627049478,15.423539822928028
2.0570094917833206,49.83948361861685,8.653226674530323
2.088859727141551,46.4807804029345,13.189319127517603
2.116708346967028,52.015454224876834,12.91090577974735
2.127132366172645,54.02496667056305,9.252502538172685
2.1633798489824665,55.44483665368926,13.098542776969806
2.2134333353079607,51.236438682816896,16.81322996515932
2.2246256882294326,52.185262637832,23.77014114349484
2.2443778948437045,51.723132852327176,16.317079887280336
2.2479683598506397,51.462450104942555,17.905313204454423
2.2654918926691328,52.17159357429484,19.2939031598917
2.274583586377198,59.9869245164104,15.587168023145766
2.2766614250351016,58.440183700838766,16.747902933250884
2.291269733494518,60.103361040987636,22.84580272823376
